#
# Sources from ATCA catalog (Murphy et al. 2010 2010MNRAS.402.2403M) 
# which do NOT have ALMA measurements, but could have an entry in the full DB 
#
# RA and Dec in deg. The mean uncertainties (ATCA) are 13.5 arcsec (RA) and 1.0 arcsec (Dec)
# ALMA RA and Dec and error values from the ALMA DB 
# 20GHz: flux at 20 GHz from 2010 paper
#        sources with flux20G=error, do not have an entry in Murphy data (extended sources)
#        sources with error=0, do not have any error entry in Murphy data
# 93GHz: flux at 93 GHz observed at ATCA, from website (ATCA Calibrator Database v3)
#        Note the observation date was not provided in the website output search
# B3estimate=20GHz/4
# Flags: g=good or p=poor data quality
#        e = extended source
#        h = Galactic HII region
#        p = Galactic planetary nebula
#        m = Magellanic clouds source
#        l = no match in low frequency surveys
#        b = large and extended See the paper for more details of these classifications
#        nnn = no flag
#
#                                                        Flux Density (mJy)         
#  ATCA Name     RA(deg)  errRA  Dec(deg)  errDec   20GHz  error  93GHz   B3estim    Flags       ALMAname  ALMAra(deg) error  ALMAdec(deg) error
#
J074331-672625	115.88166	0.00375	-67.44047	0.00028	1224	53	NONE	306	g	e					
J013738-243053	24.40971	0.00375	-24.51486	0.00028	1214	79	1967	303.5	g	nnn	J0137-2430|J0137-245|J013739-243049|B0135-247	24.4097769	0.0000002	-24.5149682	0.0000002
J024104-081520	40.26987	0.00375	-8.25569	0.00028	1199	59	2112	299.75	g	nnn	J0241-0815|J0241-082|J024105-081529|B0238-084	40.2699938	0.0000021	-8.2557644	0.0000021
J193926-152543	294.86142	0.00375	-15.42869	0.00028	1194	60	707	298.5	g	nnn					
J111817-123255	169.571205	0.00375	-12.54872	0.00028	1182	59	NONE	295.5	g	nnn					
J012528-000556	21.370335	0.00375	-0.09906	0.00028	1161	58	748	290.25	g	nnn					
J120902-240619	182.260995	0.00375	-24.1055	0.00028	1147	74	NONE	286.75	g	nnn					
J054145-015524	85.440165	0.00375	-1.92342	0.00028	1144	12	NONE	286	g	eh					
J230107-015804	345.283215	0.00375	-1.968	0.00028	1127	51	NONE	281.75	g	nnn	J2301-0158|J230107-015755	345.283243608	0	-1.967940542	0
J003814-245901	9.56133	0.00375	-24.98386	0.00028	1125	70	NONE	281.25	g	nnn	J0038-2459|J003814-245906	9.561397946	0	-24.983954203	0
J002616-351249	6.568335	0.00375	-35.21369	0.00028	1123	43	NONE	280.75	g	nnn	J0026-3512|J002612-351243	6.568279775	0	-35.21355315	0
J220743-534633	331.93242	0.00375	-53.77603	0.00028	1122	56	NONE	280.5	g	nnn					
J173340-793555	263.418255	0.00375	-79.59881	0.00028	1109	55	NONE	277.25	g	nnn					
J235430-151311	358.62579	0.00375	-15.21978	0.00028	1104	55	429	276	g	nnn					
J050112-015914	75.30333	0.00375	-1.98722	0.00028	1097	53	1207	274.25	g	nnn	J0501-0159|J0501-019|J050112-015921|B0458-020	75.3033745	0.0000001	-1.9872934	0.0000001
J191240-801003	288.168285	0.00375	-80.16756	0.00028	1083	53	NONE	270.75	g	nnn					
J044238-001744	70.66092	0.00375	-0.29575	0.00028	1079	48	NONE	269.75	g	nnn					
J212912-153841	322.30083	0.00375	-15.64472	0.00028	1073	54	NONE	268.25	p	nnn					
