ATCA_name,RA_atca,errRA_atca,DEC_atca,errDEC_atca,f20,ef20,f93,B3est,Flags,Flags2,ALMAname,SOURCE_ID,distance_alma,distance_vlbi,distance_grid,CATALOGUE_ID,RA_alma,RA_UNCERTAINTY_alma,DEC_alma,DEC_UNCERTAINTY_alma,FREQUENCY,FLUX,FLUX_UNCERTAINTY,DATE_OBSERVED,VALID,IVS,name,RA_vlbi,DEC_vlbi,Grid_close,OTHER,OTHER2
J044238-001744,70.66092,0.00375,-0.29575,0.00028,1079,48,NONE,269.75,g,nnn,,2294,1.412729529,1.4127796806,17842.7510092567,1,70.6610864,0.0000002,-0.2953946,0.0000003,230000000000,0.09,0.03,2010-06-29 00:00:00,1,NRAO190,J0442-0017,70.6610863792,-0.295394575,J0423-0120|J0423-013|J042315-012034|B0420-014,,
J233612-523622,354.051165,0.00375,-52.60617,0.00028,1069,53,NONE,267.25,g,nnn,,10174,1.2606720706,1.2575133233,11953.6724008887,3,354.0506,,-52.6061,,4850000000,1.588,,2006-12-19 00:00:00,1,2333-528,J2336-5236,354.0506024292,-52.606097225,J2357-5311|J235752-531116|B2355-534,,
J224616-560746,341.56917,0.00375,-56.12947,0.00028,1052,52,NONE,263,g,nnn,J2246-5607|J224617-560750,9805,1.5975252524,1.5975252524,38631.9976769616,5,341.5699649625,5.58333333333333E-007,-56.1294449167,1.55555555555555E-007,254970000000,0.12,0.02,2012-06-23 00:00:00,1,2243-563,J2246-5607,341.5699649625,-56.1294449167,J2357-5311|J235752-531116|B2355-534,,
J170336-621238,255.901785,0.00375,-62.21058,0.00028,1051,53,NONE,262.75,g,nnn,,7480,2.0762084592,2.0762084592,23858.4381232941,5,255.9022551042,6.94444444444444E-008,-62.2111134556,3.61111111111111E-008,103490000000,0.72,0.03,2013-12-30 00:00:00,1,1659-621,J1703-6212,255.9022551042,-62.2111134556,J1617-5848|J1613-586,,
J111827-463415,169.61283,0.00375,-46.57089,0.00028,957,44,882,239.25,g,nnn,J1118-4634,13244,1.269543211,1.2696139005,9501.6662259194,21,169.6123236,0.0000001,-46.5708337,0.0000001,20000000000,0.957,0.044,2006-01-01 00:00:00,1,1116-462,J1118-4634,169.6123235708,-46.5708336972,J1107-4449|J1107-448|J110707-444905|B1104-445,,
J051349-215917,78.45459,0.00375,-21.98817,0.00028,942,62,NONE,235.5,g,nnn,,2523,1.3317812787,1.331777732,52581.5572058222,5,78.4546430083,3.61111111111111E-008,-21.9878033417,0.00000005,91460000000,0.26,0.01,2014-01-13 00:00:00,1,0511-220,J0513-2159,78.4546430083,-21.9878033417,J0522-3627|J0522-364|B0521-365,,
J224703-365746,341.76588,0.00375,-36.96289,0.00028,938,62,NONE,234.5,g,nnn,J2247-3657|J2247-370|J224704-365755,9809,1.2759191913,1.2759191913,33427.5396263875,5,341.7663222042,3.88888888888889E-008,-36.9628622278,3.33333333333333E-008,91460000000,0.24,0.03,2013-12-30 00:00:00,1,2244-372,J2247-3657,341.7663222042,-36.9628622278,J2258-2758|J2258-279|J225805-275823|B2255-282,,
J123159-022404,187.999785,0.00375,-2.40117,0.00028,897,45,NONE,224.25,g,nnn,,5495,1.1758421603,1.1690335674,16241.9490654523,3,188.00007,,-2.40133,,4850000000,1.02,,2006-12-19 00:00:00,1,1229-021,J1232-0224,188.0000667083,-2.4013319611,J1229+0203|J1229+020|3C273|B1226+023,,
J135446-104103,208.694295,0.00375,-10.68422,0.00028,886,42,1296,221.5,g,nnn,,6162,1.7313480737,1.7372880869,17151.889449964,3,208.69383,,-10.68407,,4850000000,0.686,,2006-12-19 00:00:00,1,1352-104,J1354-1041,208.6938278458,-10.6840711667,J1337-1257|J1337-129|J133739-125720|B1334-127,,
J140856-075225,212.235255,0.00375,-7.87378,0.00028,857,43,NONE,214.25,g,nnn,,6262,1.0994502277,1.0994502277,33178.2694098925,5,212.2353383292,2.77777777777778E-008,-7.8740740361,2.77777777777778E-008,91460000000,0.7,0.01,2014-01-12 00:00:00,1,1406-076,J1408-0752,212.2353383292,-7.8740740361,J1337-1257|J1337-129|J133739-125720|B1334-127,,
