Event Result UID Scan 
WVRReducedEvent: SUCCESS uid://A002/X82e118/X815 8 
AmpliCalReducedEvent: SUCCESS uid://A002/X82e118/X815 8 
WVRReducedEvent: SUCCESS uid://A002/X82e118/X815 9 
AtmosphereReducedEvent: SUCCESS uid://A002/X82e118/X815 9 
WVRReducedEvent: SUCCESS uid://A002/X82e118/X815 10 
WVRReducedEvent: SUCCESS uid://A002/X82e118/X815 11 
AtmosphereReducedEvent: SUCCESS uid://A002/X82e118/X815 11 
WVRReducedEvent: SUCCESS uid://A002/X82e118/X815 12 
PhaseCalReducedEvent: SUCCESS uid://A002/X82e118/X815 12 
BandPassReducedEvent: SUCCESS uid://A002/X82e118/X815 12 
WVRReducedEvent: SUCCESS uid://A002/X82e118/X815 13 
PhaseCalReducedEvent: SUCCESS uid://A002/X82e118/X815 13 
WVRReducedEvent: SUCCESS uid://A002/X82e118/X815 14 
AtmosphereReducedEvent: SUCCESS uid://A002/X82e118/X815 14 
WVRReducedEvent: SUCCESS uid://A002/X82e118/X815 16 "Missing CAL_DELAY, CAL_WVR, scan 15"
AtmosphereReducedEvent: SUCCESS uid://A002/X82e118/X815 16 
WVRReducedEvent: SUCCESS uid://A002/X82e118/X815 17 
WVRReducedEvent: SUCCESS uid://A002/X82e118/X815 18 
PhaseCalReducedEvent: SUCCESS uid://A002/X82e118/X815 18 
WVRReducedEvent: SUCCESS uid://A002/X82e118/X815 19 
WVRReducedEvent: SUCCESS uid://A002/X82e118/X815 20 
PhaseCalReducedEvent: SUCCESS uid://A002/X82e118/X815 20 
PhaseCurveReducedEvent: SUCCESS uid://A002/X82e118/X815 20 
WVRReducedEvent: SUCCESS uid://A002/X82e118/X815 21 
AtmosphereReducedEvent: SUCCESS uid://A002/X82e118/X815 21 
WVRReducedEvent: SUCCESS uid://A002/X82e118/X815 22 
WVRReducedEvent: SUCCESS uid://A002/X82e118/X815 23 
PhaseCalReducedEvent: SUCCESS uid://A002/X82e118/X815 23 
PhaseCurveReducedEvent: SUCCESS uid://A002/X82e118/X815 23 
WVRReducedEvent: SUCCESS uid://A002/X82e118/X815 24 
AtmosphereReducedEvent: SUCCESS uid://A002/X82e118/X815 24 
WVRReducedEvent: SUCCESS uid://A002/X82e118/X815 25 
WVRReducedEvent: SUCCESS uid://A002/X82e118/X815 26 
PointingReducedEvent: SUCCESS uid://A002/X82e118/X815 26 
  0  
AmpliCalReducedEvent: SUCCESS uid://A002/X82e118/X9a 1 
PhaseCalReducedEvent: SUCCESS uid://A002/X82e118/X9a 1 
DelayReducedEvent: SUCCESS uid://A002/X82e118/X9a 1 
  0  
PointingReducedEvent: FAIL uid://A002/X82e118/Xb5b 1 
  0  
PointingReducedEvent: FAIL uid://A002/X82e118/Xb7c 1 
  0  
PointingReducedEvent: FAIL uid://A002/X82e118/Xc1a 1 
  0  
PointingReducedEvent: FAIL uid://A002/X82e118/Xc45 1 
  0  
PointingReducedEvent: FAIL uid://A002/X82e118/Xcd8 1 
  0  
PointingReducedEvent: FAIL uid://A002/X82e118/Xcf9 1 
  0  
PointingReducedEvent: FAIL uid://A002/X82e118/Xd4a 1 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82e118/Xd68 1 
PointingReducedEvent: SUCCESS uid://A002/X82e118/Xd68 1 
WVRReducedEvent: SUCCESS uid://A002/X82e118/Xd68 2 
WVRReducedEvent: SUCCESS uid://A002/X82e118/Xd68 3 
AtmosphereReducedEvent: SUCCESS uid://A002/X82e118/Xd68 3 
WVRReducedEvent: SUCCESS uid://A002/X82e118/Xd68 4 
WVRReducedEvent: SUCCESS uid://A002/X82e118/Xd68 5 
AtmosphereReducedEvent: SUCCESS uid://A002/X82e118/Xd68 5 
WVRReducedEvent: SUCCESS uid://A002/X82e118/Xd68 6 
PhaseCalReducedEvent: SUCCESS uid://A002/X82e118/Xd68 6 
BandPassReducedEvent: SUCCESS uid://A002/X82e118/Xd68 6 
WVRReducedEvent: SUCCESS uid://A002/X82e118/Xd68 7 
AtmosphereReducedEvent: SUCCESS uid://A002/X82e118/Xd68 7 
WVRReducedEvent: SUCCESS uid://A002/X82e118/Xd68 8 
AmpliCalReducedEvent: SUCCESS uid://A002/X82e118/Xd68 8 
WVRReducedEvent: SUCCESS uid://A002/X82e118/Xd68 9 
AtmosphereReducedEvent: SUCCESS uid://A002/X82e118/Xd68 9 
WVRReducedEvent: SUCCESS uid://A002/X82e118/Xd68 10 
WVRReducedEvent: SUCCESS uid://A002/X82e118/Xd68 11 
AtmosphereReducedEvent: SUCCESS uid://A002/X82e118/Xd68 11 
WVRReducedEvent: SUCCESS uid://A002/X82e118/Xd68 12 
PhaseCalReducedEvent: SUCCESS uid://A002/X82e118/Xd68 12 
BandPassReducedEvent: SUCCESS uid://A002/X82e118/Xd68 12 
WVRReducedEvent: SUCCESS uid://A002/X82e118/Xd68 13 
PhaseCalReducedEvent: SUCCESS uid://A002/X82e118/Xd68 13 
WVRReducedEvent: SUCCESS uid://A002/X82e118/Xd68 14 
AtmosphereReducedEvent: SUCCESS uid://A002/X82e118/Xd68 14 
WVRReducedEvent: SUCCESS uid://A002/X82e118/Xd68 16 "Missing CAL_DELAY, CAL_WVR, scan 15"
AtmosphereReducedEvent: SUCCESS uid://A002/X82e118/Xd68 16 
WVRReducedEvent: SUCCESS uid://A002/X82e118/Xd68 17 
WVRReducedEvent: SUCCESS uid://A002/X82e118/Xd68 18 
PhaseCalReducedEvent: SUCCESS uid://A002/X82e118/Xd68 18 
WVRReducedEvent: SUCCESS uid://A002/X82e118/Xd68 19 
WVRReducedEvent: SUCCESS uid://A002/X82e118/Xd68 20 
PhaseCalReducedEvent: SUCCESS uid://A002/X82e118/Xd68 20 
PhaseCurveReducedEvent: SUCCESS uid://A002/X82e118/Xd68 20 
WVRReducedEvent: SUCCESS uid://A002/X82e118/Xd68 21 
AtmosphereReducedEvent: SUCCESS uid://A002/X82e118/Xd68 21 
WVRReducedEvent: SUCCESS uid://A002/X82e118/Xd68 22 
WVRReducedEvent: SUCCESS uid://A002/X82e118/Xd68 23 
PhaseCalReducedEvent: SUCCESS uid://A002/X82e118/Xd68 23 
PhaseCurveReducedEvent: SUCCESS uid://A002/X82e118/Xd68 23 
WVRReducedEvent: SUCCESS uid://A002/X82e118/Xd68 24 
AtmosphereReducedEvent: SUCCESS uid://A002/X82e118/Xd68 24 
WVRReducedEvent: SUCCESS uid://A002/X82e118/Xd68 25 
  0  
PointingReducedEvent: FAIL uid://A002/X82e118/Xe41 1 
  0  
AmpliCalReducedEvent: SUCCESS uid://A002/X82ecb9/X110 1 
PhaseCalReducedEvent: SUCCESS uid://A002/X82ecb9/X110 1 
DelayReducedEvent: SUCCESS uid://A002/X82ecb9/X110 1 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82ecb9/X114 1 
PointingReducedEvent: SUCCESS uid://A002/X82ecb9/X114 1 
DelayReducedEvent: SUCCESS uid://A002/X82ecb9/X114 1 
WVRReducedEvent: SUCCESS uid://A002/X82ecb9/X114 2 
PointingReducedEvent: SUCCESS uid://A002/X82ecb9/X114 2 
DelayReducedEvent: SUCCESS uid://A002/X82ecb9/X114 2 
WVRReducedEvent: SUCCESS uid://A002/X82ecb9/X114 3 
FocusReducedEvent: SUCCESS uid://A002/X82ecb9/X114 3 
WVRReducedEvent: SUCCESS uid://A002/X82ecb9/X114 4 
PointingReducedEvent: SUCCESS uid://A002/X82ecb9/X114 4 
DelayReducedEvent: SUCCESS uid://A002/X82ecb9/X114 4 
WVRReducedEvent: SUCCESS uid://A002/X82ecb9/X114 5 
SideBandRatioReducedEvent: SUCCESS uid://A002/X82ecb9/X114 5 
WVRReducedEvent: SUCCESS uid://A002/X82ecb9/X114 6 
SideBandRatioReducedEvent: SUCCESS uid://A002/X82ecb9/X114 6 
WVRReducedEvent: SUCCESS uid://A002/X82ecb9/X114 7 
SideBandRatioReducedEvent: SUCCESS uid://A002/X82ecb9/X114 7 
WVRReducedEvent: SUCCESS uid://A002/X82ecb9/X114 8 
SideBandRatioReducedEvent: SUCCESS uid://A002/X82ecb9/X114 8 
WVRReducedEvent: SUCCESS uid://A002/X82ecb9/X114 9 
SideBandRatioReducedEvent: SUCCESS uid://A002/X82ecb9/X114 9 
WVRReducedEvent: SUCCESS uid://A002/X82ecb9/X114 10 
SideBandRatioReducedEvent: SUCCESS uid://A002/X82ecb9/X114 10 
WVRReducedEvent: SUCCESS uid://A002/X82ecb9/X114 11 
SideBandRatioReducedEvent: SUCCESS uid://A002/X82ecb9/X114 11 
WVRReducedEvent: SUCCESS uid://A002/X82ecb9/X114 12 
SideBandRatioReducedEvent: SUCCESS uid://A002/X82ecb9/X114 12 
WVRReducedEvent: SUCCESS uid://A002/X82ecb9/X114 13 
SideBandRatioReducedEvent: SUCCESS uid://A002/X82ecb9/X114 13 
WVRReducedEvent: SUCCESS uid://A002/X82ecb9/X114 14 
SideBandRatioReducedEvent: SUCCESS uid://A002/X82ecb9/X114 14 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82ecb9/X324 1 
DelayReducedEvent: SUCCESS uid://A002/X82ecb9/X324 1 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82ecb9/X346 1 
DelayReducedEvent: SUCCESS uid://A002/X82ecb9/X346 1 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82ecb9/X34a 1 
DelayReducedEvent: SUCCESS uid://A002/X82ecb9/X34a 1 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82ecb9/X34e 1 
DelayReducedEvent: SUCCESS uid://A002/X82ecb9/X34e 1 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82ecb9/X352 1 
DelayReducedEvent: SUCCESS uid://A002/X82ecb9/X352 1 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82ecb9/X356 1 
DelayReducedEvent: SUCCESS uid://A002/X82ecb9/X356 1 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82ecb9/X377 1 
DelayReducedEvent: SUCCESS uid://A002/X82ecb9/X377 1 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82ecb9/X37b 1 
DelayReducedEvent: SUCCESS uid://A002/X82ecb9/X37b 1 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82ecb9/X37f 1 
DelayReducedEvent: SUCCESS uid://A002/X82ecb9/X37f 1 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82ecb9/X383 1 
DelayReducedEvent: SUCCESS uid://A002/X82ecb9/X383 1 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82ecb9/X387 1 
DelayReducedEvent: SUCCESS uid://A002/X82ecb9/X387 1 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82ecb9/X38c 1 
PointingReducedEvent: SUCCESS uid://A002/X82ecb9/X38c 1 
DelayReducedEvent: SUCCESS uid://A002/X82ecb9/X38c 1 
WVRReducedEvent: SUCCESS uid://A002/X82ecb9/X38c 2 
PointingReducedEvent: SUCCESS uid://A002/X82ecb9/X38c 2 
DelayReducedEvent: SUCCESS uid://A002/X82ecb9/X38c 2 
WVRReducedEvent: SUCCESS uid://A002/X82ecb9/X38c 3 
FocusReducedEvent: SUCCESS uid://A002/X82ecb9/X38c 3 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82ecb9/X3f2 1 
PointingReducedEvent: SUCCESS uid://A002/X82ecb9/X3f2 1 
DelayReducedEvent: SUCCESS uid://A002/X82ecb9/X3f2 1 
WVRReducedEvent: SUCCESS uid://A002/X82ecb9/X3f2 2 
PointingReducedEvent: SUCCESS uid://A002/X82ecb9/X3f2 2 
DelayReducedEvent: SUCCESS uid://A002/X82ecb9/X3f2 2 
WVRReducedEvent: SUCCESS uid://A002/X82ecb9/X3f2 3 
FocusReducedEvent: FAIL uid://A002/X82ecb9/X3f2 3 
  0  
AmpliCalReducedEvent: SUCCESS uid://A002/X82ecb9/X45b 1 
PhaseCalReducedEvent: SUCCESS uid://A002/X82ecb9/X45b 1 
DelayReducedEvent: SUCCESS uid://A002/X82ecb9/X45b 1 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82ecb9/X460 1 
PointingReducedEvent: SUCCESS uid://A002/X82ecb9/X460 1 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82ecb9/X47d 1 
PointingReducedEvent: SUCCESS uid://A002/X82ecb9/X47d 1 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82ecb9/X4ac 1 
PointingReducedEvent: SUCCESS uid://A002/X82ecb9/X4ac 1 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82ecb9/X583 1 
PointingReducedEvent: SUCCESS uid://A002/X82ecb9/X583 1 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82ecb9/X590 1 
PointingReducedEvent: SUCCESS uid://A002/X82ecb9/X590 1 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82ecb9/X5fe 1 
PointingReducedEvent: SUCCESS uid://A002/X82ecb9/X5fe 1 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82ecb9/X617 1 
PointingReducedEvent: SUCCESS uid://A002/X82ecb9/X617 1 
WVRReducedEvent: SUCCESS uid://A002/X82ecb9/X617 2 
FocusReducedEvent: SUCCESS uid://A002/X82ecb9/X617 2 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82ecb9/X637 1 
PointingReducedEvent: SUCCESS uid://A002/X82ecb9/X637 1 
WVRReducedEvent: SUCCESS uid://A002/X82ecb9/X637 2 
FocusReducedEvent: SUCCESS uid://A002/X82ecb9/X637 2 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82ecb9/X658 1 
PointingReducedEvent: SUCCESS uid://A002/X82ecb9/X658 1 
WVRReducedEvent: SUCCESS uid://A002/X82ecb9/X658 2 
FocusReducedEvent: SUCCESS uid://A002/X82ecb9/X658 2 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82ecb9/X684 1 
PhaseCalReducedEvent: SUCCESS uid://A002/X82ecb9/X684 1 
WVRReducedEvent: SUCCESS uid://A002/X82ecb9/X684 2 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82ecb9/X6e0 1 
PhaseCalReducedEvent: SUCCESS uid://A002/X82ecb9/X6e0 1 
WVRReducedEvent: SUCCESS uid://A002/X82ecb9/X6e0 2 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82ecb9/X72f 1 
PhaseCalReducedEvent: SUCCESS uid://A002/X82ecb9/X72f 1 
WVRReducedEvent: SUCCESS uid://A002/X82ecb9/X72f 2 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82ecb9/X78a 1 
PhaseCalReducedEvent: SUCCESS uid://A002/X82ecb9/X78a 1 
WVRReducedEvent: SUCCESS uid://A002/X82ecb9/X78a 2 
  0  
PointingReducedEvent: FAIL uid://A002/X82ecb9/X888 1 
  0  
PointingReducedEvent: SUCCESS uid://A002/X82ecb9/X88c 1 
  0  
AmpliCalReducedEvent: SUCCESS uid://A002/X82ecb9/Xa9 1 
PhaseCalReducedEvent: SUCCESS uid://A002/X82ecb9/Xa9 1 
DelayReducedEvent: SUCCESS uid://A002/X82ecb9/Xa9 1 
  0  
AmpliCalReducedEvent: SUCCESS uid://A002/X82ecb9/Xd4 1 
PhaseCalReducedEvent: SUCCESS uid://A002/X82ecb9/Xd4 1 
DelayReducedEvent: SUCCESS uid://A002/X82ecb9/Xd4 1 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82ecb9/Xda 1 
SideBandRatioReducedEvent: SUCCESS uid://A002/X82ecb9/Xda 1 
  0  
  0  
