Event Result UID Scan 
BandPassReducedEvent: SUCCESS uid://A002/X82abd7/X537 6 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X537 7 
AtmosphereReducedEvent: SUCCESS uid://A002/X82abd7/X537 7 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X537 8 
AmpliCalReducedEvent: SUCCESS uid://A002/X82abd7/X537 8 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X537 20 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X537 21 
PhaseCalReducedEvent: SUCCESS uid://A002/X82abd7/X537 21 
PhaseCurveReducedEvent: SUCCESS uid://A002/X82abd7/X537 21 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X537 22 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X835 1 
PointingReducedEvent: SUCCESS uid://A002/X82abd7/X835 1 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X835 2 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X835 3 
AtmosphereReducedEvent: SUCCESS uid://A002/X82abd7/X835 3 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X835 4 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X835 5 
AtmosphereReducedEvent: SUCCESS uid://A002/X82abd7/X835 5 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X835 6 
PhaseCalReducedEvent: SUCCESS uid://A002/X82abd7/X835 6 
BandPassReducedEvent: SUCCESS uid://A002/X82abd7/X835 6 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X835 7 
AtmosphereReducedEvent: SUCCESS uid://A002/X82abd7/X835 7 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X835 8 
AmpliCalReducedEvent: SUCCESS uid://A002/X82abd7/X835 8 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X835 22 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82abd7/Xb39 1 
PointingReducedEvent: SUCCESS uid://A002/X82abd7/Xb39 1 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/Xb39 2 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/Xb39 3 
AtmosphereReducedEvent: SUCCESS uid://A002/X82abd7/Xb39 3 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/Xb39 4 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/Xb39 5 
AtmosphereReducedEvent: SUCCESS uid://A002/X82abd7/Xb39 5 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/Xb39 6 
PhaseCalReducedEvent: SUCCESS uid://A002/X82abd7/Xb39 6 
BandPassReducedEvent: SUCCESS uid://A002/X82abd7/Xb39 6 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/Xb39 7 
AtmosphereReducedEvent: SUCCESS uid://A002/X82abd7/Xb39 7 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/Xb39 8 
AmpliCalReducedEvent: SUCCESS uid://A002/X82abd7/Xb39 8 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/Xb39 22 
PhaseCalReducedEvent: SUCCESS uid://A002/X82abd7/Xb39 22 
PhaseCurveReducedEvent: SUCCESS uid://A002/X82abd7/Xb39 22 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/Xb39 23 
  0  
AmpliCalReducedEvent: SUCCESS uid://A002/X82b2f1/X1 1 
PhaseCalReducedEvent: SUCCESS uid://A002/X82b2f1/X1 1 
DelayReducedEvent: SUCCESS uid://A002/X82b2f1/X1 1 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82b2f1/X15b 1 
PhaseCalReducedEvent: SUCCESS uid://A002/X82b2f1/X15b 1 
WVRReducedEvent: SUCCESS uid://A002/X82b2f1/X15b 2 
  0  
AmpliCalReducedEvent: SUCCESS uid://A002/X82b2f1/X1c7 1 
PhaseCalReducedEvent: SUCCESS uid://A002/X82b2f1/X1c7 1 
DelayReducedEvent: SUCCESS uid://A002/X82b2f1/X1c7 1 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82b2f1/X1cb 1 
PhaseCalReducedEvent: SUCCESS uid://A002/X82b2f1/X1cb 1 
WVRReducedEvent: SUCCESS uid://A002/X82b2f1/X1cb 2 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82b2f1/X21a 1 
PhaseCalReducedEvent: SUCCESS uid://A002/X82b2f1/X21a 1 
WVRReducedEvent: SUCCESS uid://A002/X82b2f1/X21a 2 
  0  
AmpliCalReducedEvent: SUCCESS uid://A002/X82b2f1/X26a 1 
PhaseCalReducedEvent: SUCCESS uid://A002/X82b2f1/X26a 1 
DelayReducedEvent: SUCCESS uid://A002/X82b2f1/X26a 1 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82b2f1/X26e 1 
PhaseCalReducedEvent: SUCCESS uid://A002/X82b2f1/X26e 1 
WVRReducedEvent: SUCCESS uid://A002/X82b2f1/X26e 2 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82b2f1/X2bd 1 
PhaseCalReducedEvent: SUCCESS uid://A002/X82b2f1/X2bd 1 
WVRReducedEvent: SUCCESS uid://A002/X82b2f1/X2bd 2 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82b2f1/X339 1 
PointingReducedEvent: SUCCESS uid://A002/X82b2f1/X339 1 
DelayReducedEvent: SUCCESS uid://A002/X82b2f1/X339 1 
WVRReducedEvent: SUCCESS uid://A002/X82b2f1/X339 2 
PointingReducedEvent: SUCCESS uid://A002/X82b2f1/X339 2 
DelayReducedEvent: SUCCESS uid://A002/X82b2f1/X339 2 
WVRReducedEvent: SUCCESS uid://A002/X82b2f1/X339 3 
FocusReducedEvent: SUCCESS uid://A002/X82b2f1/X339 3 
WVRReducedEvent: SUCCESS uid://A002/X82b2f1/X339 4 
PointingReducedEvent: SUCCESS uid://A002/X82b2f1/X339 4 
DelayReducedEvent: SUCCESS uid://A002/X82b2f1/X339 4 
WVRReducedEvent: SUCCESS uid://A002/X82b2f1/X339 5 
DelayReducedEvent: SUCCESS uid://A002/X82b2f1/X339 5 
WVRReducedEvent: SUCCESS uid://A002/X82b2f1/X339 6 
DelayReducedEvent: SUCCESS uid://A002/X82b2f1/X339 6 
WVRReducedEvent: SUCCESS uid://A002/X82b2f1/X339 7 
DelayReducedEvent: SUCCESS uid://A002/X82b2f1/X339 7 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82b2f1/X5 1 
PointingReducedEvent: SUCCESS uid://A002/X82b2f1/X5 1 
WVRReducedEvent: SUCCESS uid://A002/X82b2f1/X5 2 
WVRReducedEvent: SUCCESS uid://A002/X82b2f1/X5 3 
AtmosphereReducedEvent: SUCCESS uid://A002/X82b2f1/X5 3 
WVRReducedEvent: SUCCESS uid://A002/X82b2f1/X5 4 
WVRReducedEvent: SUCCESS uid://A002/X82b2f1/X5 5 
AtmosphereReducedEvent: SUCCESS uid://A002/X82b2f1/X5 5 
WVRReducedEvent: SUCCESS uid://A002/X82b2f1/X5 6 
PhaseCalReducedEvent: SUCCESS uid://A002/X82b2f1/X5 6 
BandPassReducedEvent: SUCCESS uid://A002/X82b2f1/X5 6 
