vla_name p_err ra dec est_flux 
2152+175 0.001 21:52:24.819405 17:34:37.794820 0.35 
2217+243 0.001 22:17:00.821186 24:21:45.958090 0.35 
2321+320 0.005 23:21:54.9558 32:04:07.589 0.35 
2323-032 0.001 23:23:31.953757 -03:17:05.023800 0.35 
0046+249 0.005 00:46:07.8292 24:56:32.607 0.33 
1150-003 0.001 11:50:43.870761 -00:23:54.204900 0.33 
1924+156 0.001 19:24:39.455877 15:40:43.941290 0.33 
2115+295 0.001 21:15:29.413455 29:33:38.366940 0.33 
2301+374 0.001 23:01:27.737401 37:26:49.243090 0.33 
0137+331 0.005 01:37:41.299431 33:09:35.132990 0.32 
0401+042 0.005 04:01:19.912896 04:13:34.408610 0.32 
1719+177 0.001 17:19:13.048469 17:45:06.436980 0.32 
2349+055 0.005 23:49:21.0519 05:34:39.849 0.32 
0057+303 0.001 00:57:48.883353 30:21:08.812130 0.3 
0112+227 0.001 01:12:05.824718 22:44:38.786190 0.3 
0141-094 0.001 01:41:25.832025 -09:28:43.673810 0.3 
0149+059 0.001 01:49:22.370886 05:55:53.568660 0.3 
0203+115 0.001 02:03:46.657061 11:34:45.409620 0.3 
0424+006 0.001 04:24:46.842052 00:36:06.329830 0.3 
0552+379 0.001 05:52:17.936879 37:54:25.281910 0.3 
0745+101 0.001 07:45:33.059511 10:11:12.692470 0.3 
0823+223 0.001 08:23:24.759174 22:23:03.288070 0.3 
0914+027 0.001 09:14:37.913450 02:45:59.245970 0.3 
1025+128 0.001 10:25:56.285358 12:53:49.022240 0.3 
1104+382 0.001 11:04:27.313943 38:12:31.799190 0.3 
1221+282 0.001 12:21:31.690515 28:13:58.500260 0.3 
1309+119 0.001 13:09:33.932431 11:54:24.552420 0.3 
1330+251 0.05 13:30:37.6892 25:09:10.978 0.3 
1458+042 0.001 14:58:59.356206 04:16:13.820570 0.3 
1516+195 0.001 15:16:56.796194 19:32:12.991870 0.3 
1707+018 0.001 17:07:34.415277 01:48:45.699230 0.3 
1737+063 0.001 17:37:13.729042 06:21:03.572370 0.3 
1848+327 0.001 18:48:34.361172 32:44:00.139320 0.3 
2016+165 0.001 20:16:13.860024 16:32:34.112730 0.3 
2226+008 0.001 22:26:46.537050 00:52:11.331960 0.3 
2241+098 0.001 22:41:49.717334 09:53:52.445290 0.3 
2321+275 0.001 23:21:59.862235 27:32:46.443430 0.3 
0040-017 0.001 00:40:57.611582 -01:46:32.025620 0.29 
0232+264 0.005 02:32:27.6250 26:28:38.596 0.29 
0329+351 0.005 03:29:15.3553 35:10:05.940 0.29 
0641-033 0.05 06:41:51.1335 -03:20:48.500 0.29 
0121+043 0.001 01:21:56.861699 04:22:24.734360 0.28 
0312+015 0.005 03:12:43.6028 01:33:17.538 0.28 
0604+244 0.05 06:04:55.1140 24:29:55.009 0.28 
0703-008 0.005 07:03:19.1067 -00:51:04.949 0.28 
1505+034 0.001 15:05:06.477161 03:26:30.812610 0.28 
2147+094 0.001 21:47:10.162971 09:29:46.672450 0.28 
0239+042 0.001 02:39:51.263048 04:16:21.411830 0.27 
0407+077 0.005 04:07:29.0870 07:42:07.500 0.27 
1045+175 0.005 10:45:14.3605 17:35:48.088 0.27 
1118+125 0.001 11:18:57.301443 12:34:41.718060 0.27 
2337-025 0.001 23:37:57.339089 -02:30:57.629370 0.27 
0029+059 0.005 00:29:45.8964 05:54:40.695 0.26 
0112+321 0.005 01:12:50.3276 32:08:17.548 0.26 
1347+122 0.001 13:47:33.361645 12:17:24.238900 0.26 
1850+284 0.001 18:50:27.589807 28:25:13.155570 0.26 
0010+174 0.001 00:10:33.990619 17:24:18.761350 0.25 
0019+203 0.001 00:19:37.854504 20:21:45.644610 0.25 
0049+026 0.001 00:49:43.235929 02:37:03.778200 0.25 
0309+104 0.001 03:09:03.623523 10:29:16.340820 0.25 
0409+122 0.001 04:09:22.008740 12:17:39.847500 0.25 
0414+343 0.001 04:14:37.255748 34:18:51.207380 0.25 
0502+136 0.001 05:02:33.219510 13:38:10.958700 0.25 
0505+049 0.001 05:05:23.184723 04:59:42.724480 0.25 
0509+056 0.001 05:09:25.964466 05:41:35.333530 0.25 
0653+370 0.001 06:53:58.282842 37:05:40.606420 0.25 
0725+144 0.001 07:25:16.807752 14:25:13.746840 0.25 
0839+010 0.001 08:39:49.610999 01:04:26.735700 0.25 
0909+013 0.001 09:09:10.091597 01:21:35.617650 0.25 
1103+302 0.001 11:03:13.301894 30:14:42.702380 0.25 
1326+319 0.001 13:26:16.512212 31:54:09.515380 0.25 
1511+053 0.005 15:11:41.2652 05:18:09.264 0.25 
1603+159 0.005 16:03:38.0633 15:54:02.370 0.25 
1617+027 0.001 16:17:49.908132 02:46:43.105200 0.25 
1745+173 0.001 17:45:35.208181 17:20:01.423410 0.25 
1830+063 0.001 18:30:05.939885 06:19:15.952480 0.25 
2015+341 0.001 20:15:28.831855 34:10:39.409850 0.25 
2123+055 0.001 21:23:44.517391 05:35:22.093210 0.25 
2257+027 0.001 22:57:17.563087 02:43:17.511810 0.25 
2311+344 0.005 23:11:05.3290 34:25:10.900 0.25 
2330+110 0.001 23:30:40.852257 11:00:18.709840 0.25 
0048+319 0.001 00:48:47.141497 31:57:25.085100 0.24 
0113+023 0.001 01:13:43.144951 02:22:17.316310 0.24 
0122+250 0.001 01:22:38.815999 25:02:31.793180 0.24 
0837+249 0.001 08:37:40.245676 24:54:23.121600 0.24 
0940+260 0.005 09:40:14.7219 26:03:29.944 0.24 
1150+242 0.001 11:50:19.212173 24:17:53.835030 0.24 
1359+019 0.005 13:59:27.1478 01:59:54.543 0.24 
1534+015 0.001 15:34:52.453675 01:31:04.206570 0.24 
1024+192 0.001 10:24:44.809590 19:12:20.415390 0.23 
1101+390 0.005 11:01:30.0704 39:04:32.621 0.23 
1131-050 0.001 11:31:30.516732 -05:00:19.657360 0.23 
1745-078 0.05 17:45:27.1040 -07:53:03.600 0.23 
2253+197 0.001 22:53:07.369176 19:42:34.628430 0.23 
0653-064 0.05 06:53:00.5987 -06:25:32.520 0.22 
2050+041 0.001 20:50:06.240603 04:07:48.890510 0.22 
0011+083 0.001 00:11:35.269651 08:23:55.587470 0.21 
0059+001 0.001 00:59:05.514924 00:06:51.621710 0.21 
0219+013 0.001 02:19:07.024497 01:20:59.865760 0.21 
1018+055 0.001 10:18:27.848293 05:30:29.961330 0.21 
1130+305 0.005 11:30:42.4282 30:31:35.365 0.21 
1813+062 0.005 18:13:33.4119 06:15:42.025 0.21 
2050+363 0.005 20:50:02.2848 36:19:52.500 0.21 
0025+393 0.001 00:25:26.157705 39:19:35.439500 0.2 
0042+233 0.001 00:42:04.545183 23:20:01.061290 0.2 
0221+359 0.05 02:21:05.4733 35:56:13.791 0.2 
0226+343 0.001 02:26:10.333198 34:21:30.286450 0.2 
0231+133 0.001 02:31:45.894054 13:22:54.716270 0.2 
0239-025 0.001 02:39:45.472266 -02:34:40.914300 0.2 
0253+385 0.001 02:53:08.888121 38:35:24.998920 0.2 
