vla_name p_err ra dec est_flux 
0659+082 0.001 06:59:17.996026 08:13:30.953190 0.05 
0741+271 0.001 07:41:25.732829 27:06:45.391150 0.05 
0743+396 0.001 07:43:09.886536 39:41:30.780530 0.05 
0821+289 0.005 08:21:54.0684 28:57:39.564 0.05 
0836+274 0.001 08:36:22.888661 27:28:52.533440 0.05 
0909+020 0.005 09:09:39.8481 02:00:05.268 0.05 
0946+102 0.005 09:46:35.0693 10:17:06.126 0.05 
0949+178 0.005 09:49:39.7627 17:52:49.422 0.05 
1001+102 0.005 10:01:57.734964 10:15:49.704410 0.05 
1037+044 0.005 10:37:39.3399 04:24:01.749 0.05 
1248+203 0.005 12:48:37.2687 20:22:26.306 0.05 
1254+025 0.005 12:54:45.4650 02:33:28.956 0.05 
1300+142 0.001 13:00:20.918799 14:17:18.531070 0.05 
1300+084 0.005 13:00:36.4388 08:28:02.858 0.05 
1353+145 0.005 13:53:22.8397 14:35:39.260 0.05 
1435+302 0.001 14:35:35.402165 30:12:24.520590 0.05 
1438+371 0.005 14:38:53.6110 37:10:35.424 0.05 
1439+212 0.005 14:39:08.9032 21:14:50.813 0.05 
1445+099 0.001 14:45:16.465213 09:58:36.072440 0.05 
1606+182 0.005 16:06:16.0283 18:14:59.828 0.05 
1649+064 0.005 16:49:50.4911 06:26:53.444 0.05 
1656+184 0.005 16:56:34.0885 18:26:26.345 0.05 
1738+324 0.005 17:38:40.5048 32:24:09.065 0.05 
1739+339 0.005 17:39:35.3649 33:58:08.217 0.05 
1809+279 0.001 18:09:11.978599 27:58:11.799580 0.05 
1813+298 0.005 18:13:37.2670 29:52:37.866 0.05 
2053+228 0.005 20:53:09.3655 22:48:01.536 0.05 
2200+216 0.005 22:00:14.1984 21:37:57.013 0.05 
2201+032 0.005 22:01:27.5079 3:12:15.142 0.05 
2207+168 0.005 22:07:52.8674 16:52:17.837 0.05 
2209+377 0.001 22:09:21.425073 37:42:18.225670 0.05 
2316+163 0.005 23:16:39.6987 16:18:06.743 0.05 
0319+190 0.001 03:19:51.256732 19:01:31.290890 0.04 
0632+103 0.05 06:32:15.3269 10:22:01.676 0.04 
1022+306 0.05 10:22:30.2992 30:41:04.933 0.04 
1616+049 0.001 16:16:37.556816 04:59:32.736630 0.04 
0707+292 0.005 07:07:25.9865 29:17:18.666 0.03 
1845+356 0.001 18:45:35.108870 35:41:16.726510 0.03 
1227+365 0.001 12:27:58.725446 36:35:11.827350 0.02 
0022+002 0.005 00:22:25.425930 00:14:56.161440 0 
0026+351 0.005 00:26:41.724582 35:08:42.276320 0 
0204+368 0.001 02:04:55.596051 36:49:17.997230 0 
0323+055 0.05 03:23:20.2616 05:34:11.8909 0 
0534+194 0.05 05:34:44.5183 19:27:21.378 0 
1008+075 0.2 10:08:00.0160 07:30:16.552 0 
1033+395 0.001 10:33:22.060988 39:35:51.083370 0 
1107+164 0.001 11:07:15.047430 16:28:02.245540 0 
1111+199 0.005 11:11:20.065806 19:55:36.001090 0 
1158+248 0.001 11:58:25.787505 24:50:17.963690 0 
1340+379 0.001 13:40:22.951801 37:54:43.833640 0 
1415+371 0.001 14:15:28.466802 37:06:21.162510 0 
1419+064 0.001 14:19:08.180173 06:28:34.803490 0 
1520+202 0.05 15:20:05.4897 20:16:05.611 0 
1609+266 0.005 16:09:13.320753 26:41:29.036380 0 
1734+094 0.001 17:34:58.376995 09:26:58.260060 0 
2217+023 0.001 22:17:48.237969 02:20:10.712670 0 
2248+373 0.001 22:48:37.910510 37:18:12.462860 0 
0134-095 0.05 01:34:35.6676 -09:31:03.072 0 
0150-074 0.005 01:50:02.697304 -07:25:48.488550 0 
0337+016 0.001 03:37:17.113392 01:37:22.772123 0 
0348+338 0.2 03:48:46.9045 33:53:14.965 0 
0408+305 0.005 04:08:20.377559 30:32:30.490380 0 
0425+179 0.05 04:25:24.4626 17:55:25.122 0 
0604+203 0.05 06:04:28.6695 20:21:22.232 0 
0746+258 0.001 07:46:25.874166 25:49:02.134880 0 
0804+102 0.2 08:04:47.9546 10:15:22.548 0 
1021+219 0.2 10:21:54.5289 21:59:30.440 0 
1042+120 0.001 10:42:44.605212 12:03:31.264070 0 
1242-047 0.2 12:42:19.6650 -04:46:20.710 0 
1338-064 0.2 13:38:08.0700 -06:27:11.200 0 
1344+141 0.05 13:44:23.7421 14:09:14.856 0 
1347-080 0.2 13:47:01.5230 -08:03:23.840 0 
1404-015 0.001 14:04:45.895457 -01:30:21.946690 0 
1549+214 0.2 15:49:49.0236 21:25:38.856 0 
1646-224 0.2 16:46:04.7335 -22:27:59.903 0 
1801+138 0.2 18:01:38.8991 13:51:23.750 0 
1805+110 0.2 18:05:06.4458 11:01:31.642 0 
1820-097 0.2 18:20:38.1071 -09:47:17.071 0 
1821+397 0.005 18:21:59.700633 39:45:59.656800 0 
1941+104 0.2 19:41:56.0453 10:26:48.483 0 
2035+189 0.05 20:35:33.9804 18:57:05.351 0 
2150+148 0.05 21:50:23.6016 14:49:47.908 0 
2251+188 0.2 22:51:34.7386 18:48:40.145 0 
2255+132 0.2 22:55:03.7290 13:13:33.010 0 
2312+387 0.001 23:12:58.794057 38:47:42.660690 0 
2333+390 0.001 23:33:02.533406 39:01:12.048840 0 
2340+135 0.2 23:40:33.2250 13:33:00.910 0
